County 1,distance,County 2
18001,162.1415822,18019
18001,164.4187748,21185
18001,165.6082918,17045
18001,165.67287,17197
18001,172.340622,18101
18001,172.9039256,18117
18001,174.2479534,18153
18001,175.6087781,18043
18001,179.8558435,17023
18001,180.7583401,21111
18001,181.6417232,18027
18001,187.4708369,18061
18001,187.7026656,18025
18001,191.9788234,17033
18001,193.681619,18037
18001,193.9673911,18083
18001,203.1410867,18125
18001,203.4963965,21163
18001,204.0671544,17101
18001,204.9998353,18123
18001,217.7756759,21093
18001,219.0862721,18051
18001,219.0944524,18147
18001,220.1113601,21027
18001,221.3778073,18173
18001,221.6498273,17185
18001,223.7467012,21091
18001,235.5460873,18163
18001,237.926457,21059
18001,244.4946022,18129
18001,248.0085122,21101
18001,252.3336706,17193
18001,267.5087098,21225
18001,270.7426686,17059
18003,21.69814717,18033
18003,22.57701881,18183
18003,24.94807379,18001
18003,25.71009696,18179
18003,25.85313397,39125
18003,27.89286717,18113
18003,28.03555285,18069
18003,30.17622843,39161
18003,34.34212601,39039
18003,38.28192403,18151
18003,41.344341,39171
18003,41.43031268,18169
18003,42.24217489,18087
18003,42.38487339,18085
18003,44.75906682,18009
18003,44.81469801,39107
18003,45.52904502,18075
18003,50.13151185,18053
18003,54.06135623,18039
18003,55.3180919,18103
18003,57.12227339,26023
18003,57.83389875,26059
18003,61.24402951,26149
18003,62.14859363,18035
18003,62.19615501,18049
18003,64.17688266,18135
18003,64.26137449,18099
18003,68.82712701,18067
18003,70.41433147,39037
18003,70.93268661,18017
18003,72.47684232,18095
18003,72.77889637,18141
18003,74.47289606,26027
18003,74.65224588,18159
18003,82.10140634,18065
18003,82.97156959,18149
18003,84.46377715,18131
18003,84.96916758,18177
18003,85.53550987,18015
18003,87.52296976,18057
18003,91.47396538,18023
18003,92.35503486,18091
18003,95.11804393,18059
18003,96.20594526,39135
18003,96.47661235,18181
18003,99.10491846,26021
18003,100.5128736,18041
18003,101.7754045,18161
18003,102.6956943,18011
18003,103.6358144,18139
18003,106.3307338,18097
18003,106.7517664,18073
18003,107.0080715,18157
18003,107.7079521,18127
18003,114.7678024,18145
18003,116.2217424,18047
18003,117.2235116,39017
18003,118.6446506,18063
18003,120.0329692,18107
18003,121.7709579,18111
18003,121.9051625,18007
18003,122.3803048,18089
18003,122.7210152,18081
18003,125.4380581,18031
18003,130.9888561,18171
18003,131.7717826,18045
18003,132.7201624,18109
18003,133.8635187,39061
18003,134.167686,18029
18003,136.0087265,18133
18003,137.4129357,18005
18003,137.9673649,18137
18003,144.1241947,18121
18003,144.2453544,17031
18003,144.9822877,18013
18003,145.2036039,17091
18003,146.0947983,17075
18003,147.3948734,21015
